days elong signed k diam dist
28.5837 27.79160 -27.79160 0.516861 7.4700 0.900628
28.7769 27.78107 -27.78107 0.519743 7.4467 0.903451
28.9700 27.76891 -27.76891 0.522612 7.4235 0.906274
29.1631 27.75512 -27.75512 0.525468 7.4004 0.909097
29.3563 27.73972 -27.73972 0.528310 7.3775 0.911920
29.5494 27.72272 -27.72272 0.531140 7.3547 0.914742
29.7425 27.70414 -27.70414 0.533957 7.3321 0.917563
29.9357 27.68399 -27.68399 0.536762 7.3097 0.920384
30.1288 27.66228 -27.66228 0.539554 7.2873 0.923204
30.3219 27.63903 -27.63903 0.542335 7.2651 0.926023
30.5151 27.61425 -27.61425 0.545104 7.2431 0.928841
30.7082 27.58796 -27.58796 0.547861 7.2212 0.931658
30.9013 27.56015 -27.56015 0.550608 7.1994 0.934475
31.0945 27.53085 -27.53085 0.553343 7.1778 0.937290
31.2876 27.50007 -27.50007 0.556068 7.1563 0.940104
31.4807 27.46782 -27.46782 0.558782 7.1350 0.942917
31.6739 27.43410 -27.43410 0.561487 7.1138 0.945729
31.8670 27.39894 -27.39894 0.564181 7.0927 0.948539
32.0601 27.36234 -27.36234 0.566865 7.0717 0.951348
32.2533 27.32431 -27.32431 0.569540 7.0509 0.954155
32.4464 27.28486 -27.28486 0.572206 7.0303 0.956962
32.6395 27.24401 -27.24401 0.574863 7.0097 0.959766
32.8327 27.20176 -27.20176 0.577511 6.9893 0.962569
33.0258 27.15812 -27.15812 0.580151 6.9690 0.965370
33.2189 27.11310 -27.11310 0.582782 6.9489 0.968170
33.4121 27.06671 -27.06671 0.585405 6.9289 0.970968
33.6052 27.01896 -27.01896 0.588020 6.9090 0.973764
33.7983 26.96986 -26.96986 0.590628 6.8892 0.976558
33.9915 26.91942 -26.91942 0.593229 6.8695 0.979350
34.1846 26.86764 -26.86764 0.595822 6.8500 0.982140
34.3777 26.81454 -26.81454 0.598408 6.8306 0.984929
34.5709 26.76011 -26.76011 0.600988 6.8114 0.987715
34.7640 26.70438 -26.70438 0.603561 6.7922 0.990499
34.9571 26.64734 -26.64734 0.606128 6.7732 0.993281
35.1503 26.58901 -26.58901 0.608689 6.7543 0.996061
35.3434 26.52939 -26.52939 0.611244 6.7355 0.998838
35.5365 26.46849 -26.46849 0.613794 6.7169 1.001614
35.7297 26.40631 -26.40631 0.616339 6.6983 1.004386
35.9228 26.34287 -26.34287 0.618878 6.6799 1.007157
36.1159 26.27816 -26.27816 0.621412 6.6616 1.009925
36.3091 26.21220 -26.21220 0.623942 6.6434 1.012690
36.5022 26.14500 -26.14500 0.626467 6.6253 1.015453
36.6953 26.07655 -26.07655 0.628988 6.6074 1.018213
36.8885 26.00686 -26.00686 0.631505 6.5895 1.020971
37.0816 25.93594 -25.93594 0.634018 6.5718 1.023726
37.2747 25.86380 -25.86380 0.636528 6.5542 1.026478
37.4679 25.79044 -25.79044 0.639034 6.5366 1.029227
37.6610 25.71586 -25.71586 0.641537 6.5193 1.031973
37.8541 25.64007 -25.64007 0.644037 6.5020 1.034717
38.0473 25.56308 -25.56308 0.646534 6.4848 1.037457
38.2404 25.48489 -25.48489 0.649029 6.4677 1.040194
38.4335 25.40550 -25.40550 0.651522 6.4508 1.042929
38.6267 25.32492 -25.32492 0.654012 6.4339 1.045660
38.8198 25.24316 -25.24316 0.656500 6.4172 1.048387
39.0129 25.16021 -25.16021 0.658987 6.4005 1.051112
39.2061 25.07609 -25.07609 0.661472 6.3840 1.053833
39.3992 24.99079 -24.99079 0.663955 6.3676 1.056551
39.5923 24.90432 -24.90432 0.666438 6.3513 1.059265
39.7855 24.81668 -24.81668 0.668919 6.3351 1.061976
39.9786 24.72788 -24.72788 0.671400 6.3190 1.064683
40.1717 24.63792 -24.63792 0.673880 6.3030 1.067387
40.3649 24.54680 -24.54680 0.676360 6.2871 1.070087
40.5580 24.45453 -24.45453 0.678840 6.2713 1.072783
40.7511 24.36111 -24.36111 0.681319 6.2556 1.075475
40.9443 24.26654 -24.26654 0.683799 6.2400 1.078163
41.1374 24.17083 -24.17083 0.686279 6.2245 1.080847
41.3305 24.07397 -24.07397 0.688759 6.2091 1.083527
41.5237 23.97597 -23.97597 0.691241 6.1938 1.086203
41.7168 23.87684 -23.87684 0.693723 6.1786 1.088875
41.9099 23.77657 -23.77657 0.696206 6.1635 1.091542
42.1031 23.67517 -23.67517 0.698690 6.1485 1.094205
42.2962 23.57263 -23.57263 0.701176 6.1336 1.096863
42.4893 23.46897 -23.46897 0.703663 6.1188 1.099517
42.6825 23.36418 -23.36418 0.706152 6.1041 1.102166
42.8756 23.25826 -23.25826 0.708643 6.0895 1.104810
43.0687 23.15122 -23.15122 0.711136 6.0749 1.107449
43.2619 23.04306 -23.04306 0.713631 6.0605 1.110084
43.4550 22.93377 -22.93377 0.716129 6.0462 1.112713
43.6481 22.82337 -22.82337 0.718628 6.0320 1.115337
43.8413 22.71184 -22.71184 0.721131 6.0179 1.117956
44.0344 22.59920 -22.59920 0.723636 6.0038 1.120570
44.2275 22.48544 -22.48544 0.726144 5.9899 1.123178
44.4207 22.37057 -22.37057 0.728655 5.9760 1.125780
44.6138 22.25458 -22.25458 0.731170 5.9623 1.128377
44.8069 22.13748 -22.13748 0.733687 5.9486 1.130967
45.0001 22.01926 -22.01926 0.736208 5.9351 1.133552
45.1932 21.89993 -21.89993 0.738733 5.9216 1.136131
45.3863 21.77949 -21.77949 0.741261 5.9082 1.138704
45.5795 21.65794 -21.65794 0.743793 5.8949 1.141270
45.7726 21.53527 -21.53527 0.746328 5.8817 1.143830
45.9657 21.41149 -21.41149 0.748868 5.8686 1.146383
46.1589 21.28660 -21.28660 0.751412 5.8556 1.148930
46.3520 21.16060 -21.16060 0.753960 5.8427 1.151469
46.5451 21.03349 -21.03349 0.756512 5.8299 1.154002
46.7383 20.90527 -20.90527 0.759068 5.8172 1.156527
46.9314 20.77594 -20.77594 0.761629 5.8045 1.159045
47.1245 20.64549 -20.64549 0.764194 5.7920 1.161556
47.3177 20.51393 -20.51393 0.766764 5.7795 1.164059
